iter	Passed	Remaining
0	3	347
1	4	243
2	6	200
3	7	177
4	8	161
5	9	152
6	10	145
7	12	139
8	13	135
9	14	129
10	15	124
11	16	120
12	17	116
13	18	113
14	19	110
15	20	107
16	21	105
17	22	102
18	23	100
19	24	98
20	25	96
21	26	94
22	27	92
23	28	90
24	29	89
25	30	87
26	31	85
27	32	83
28	33	82
29	34	81
30	35	79
31	36	78
32	37	76
33	38	75
34	39	74
35	40	72
36	42	71
37	43	70
38	44	68
39	45	67
40	46	66
41	47	65
42	48	64
43	49	62
44	50	61
45	51	60
46	52	58
47	53	57
48	54	56
49	55	55
50	56	53
51	57	52
52	58	51
53	59	50
54	60	49
55	61	48
56	62	46
57	63	45
58	64	44
59	65	43
60	66	42
61	67	41
62	68	40
63	69	39
64	70	38
65	71	37
66	72	35
67	74	34
68	75	33
69	76	32
70	77	31
71	78	30
72	79	29
73	80	28
74	81	27
75	82	25
76	83	24
77	84	23
78	84	22
79	85	21
80	86	20
81	87	19
82	89	18
83	89	17
84	90	16
85	91	14
86	92	13
87	93	12
88	94	11
89	95	10
90	96	9
91	97	8
92	98	7
93	99	6
94	100	5
95	101	4
96	102	3
97	103	2
98	104	1
99	104	0
